event_id,source,date,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,landcover,soil_type,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,antecedent_precip_index,soil_moisture_pct,landslide_occurred,landslide_type,fatalities,data_confidence
SYN_N_00140,SYNTHETIC_NER,2018-08-18,Mizoram,unspecified,22.43269,90.07111,458.8,23.79,30.1,forest,residual_soil,23.8,69.3,98.6,74.8,28.1,0,n/a,0,low
SYN_N_00401,SYNTHETIC_NER,2020-08-16,Mizoram,unspecified,29.13444,90.54495,1769.7,29.55,62.3,forest,unknown,21.8,61.8,129.9,87.9,17.1,0,n/a,0,low
SYN_N_02349,SYNTHETIC_NER,2023-09-20,Mizoram,unspecified,24.77243,94.69459,2051.0,18.45,53.6,forest,residual_soil,0.0,0.0,0.0,0.0,21.3,0,n/a,0,low
SYN_N_02375,SYNTHETIC_NER,2015-06-07,Nagaland,unspecified,24.13098,88.2731,839.8,16.48,246.1,built-up,residual_soil,18.4,41.2,90.2,61.2,43.4,0,n/a,0,low
SYN_E_00211,SYNTHETIC_NER,2017-03-20,Tripura,unspecified,25.30267,93.59332,318.8,31.41,52.8,forest,residual_soil,47.7,135.5,202.5,151.4,47.3,1,soil slide,0,low
SYN_N_02315,SYNTHETIC_NER,2017-08-06,Manipur,unspecified,26.10239,88.0744,2785.2,40.66,23.6,grassland,residual_soil,12.1,33.6,72.7,48.9,24.6,0,n/a,0,low
SYN_N_00265,SYNTHETIC_NER,2015-07-26,Sikkim,unspecified,29.07963,97.268,671.0,30.6,81.6,forest,weathered_rock,17.1,31.2,64.7,45.2,16.2,0,n/a,0,low
SYN_E_00134,SYNTHETIC_NER,2020-08-07,Sikkim,unspecified,23.97635,93.21507,767.7,28.95,202.7,forest,colluvium,26.9,78.1,160.7,109.2,32.0,1,rock slide,1,low
SYN_N_01477,SYNTHETIC_NER,2022-06-24,Arunachal Pradesh,unspecified,26.52281,90.86305,2743.0,11.58,45.8,forest,residual_soil,0.0,0.0,0.0,0.0,27.8,0,n/a,0,low
SYN_N_00542,SYNTHETIC_NER,2017-09-10,Manipur,unspecified,23.77752,92.16484,1508.9,9.48,249.7,cropland,unknown,4.9,9.2,13.3,10.4,12.0,0,n/a,0,low
SYN_N_01116,SYNTHETIC_NER,2023-08-07,Nagaland,unspecified,24.41731,88.82364,3147.4,32.42,253.6,cropland,weathered_rock,25.2,61.0,133.4,90.1,35.6,0,n/a,0,low
SYN_E_00026,SYNTHETIC_NER,2019-07-11,Manipur,unspecified,28.9875,96.11285,2094.8,37.4,116.0,cropland,colluvium,22.7,60.4,105.9,75.6,38.8,1,debris flow,0,low
SYN_E_00929,SYNTHETIC_NER,2019-09-04,Nagaland,unspecified,27.35703,89.42226,2301.1,41.5,248.7,grassland,residual_soil,49.1,96.5,152.8,115.2,37.8,1,soil slide,0,low
SYN_E_00032,SYNTHETIC_NER,2018-08-07,Assam,unspecified,23.16703,95.13916,82.9,33.38,42.8,forest,residual_soil,55.1,127.5,200.8,149.7,46.2,1,mudslide,0,low
SYN_E_00315,SYNTHETIC_NER,2020-06-18,Tripura,unspecified,26.0204,89.38639,580.8,39.03,183.5,forest,colluvium,21.8,52.8,83.0,61.7,30.8,1,soil slide,0,low
SYN_N_01507,SYNTHETIC_NER,2020-07-20,Mizoram,unspecified,22.68573,94.81205,814.3,12.61,324.6,forest,residual_soil,0.0,0.0,0.0,0.0,25.0,0,n/a,0,low
SYN_N_01687,SYNTHETIC_NER,2025-07-14,Assam,unspecified,26.83738,89.41745,48.8,18.76,349.8,bare,residual_soil,18.7,48.0,103.0,69.6,23.3,0,n/a,0,low
SYN_N_00309,SYNTHETIC_NER,2023-09-25,Nagaland,unspecified,26.60129,88.65317,2563.3,19.95,106.2,forest,residual_soil,16.4,50.9,104.7,70.9,32.4,0,n/a,0,low
SYN_E_00270,SYNTHETIC_NER,2020-09-07,Mizoram,unspecified,25.24836,88.29713,1595.2,36.09,345.6,forest,residual_soil,40.7,83.9,166.4,116.5,38.8,1,soil slide,0,low
SYN_N_00765,SYNTHETIC_NER,2019-07-08,Nagaland,unspecified,23.60231,94.218,3141.9,8.12,302.7,forest,colluvium,18.4,46.9,93.5,64.5,25.1,0,n/a,0,low
SYN_E_00879,SYNTHETIC_NER,2025-03-06,Tripura,unspecified,28.9915,94.49467,782.1,35.43,18.2,built-up,weathered_rock,41.4,81.8,124.2,94.9,35.0,1,soil slide,0,low
SYN_N_00724,SYNTHETIC_NER,2017-06-04,Sikkim,unspecified,28.86219,96.30243,334.3,39.48,248.7,forest,residual_soil,6.3,17.1,36.9,24.8,19.3,0,n/a,0,low
SYN_E_01057,SYNTHETIC_NER,2017-09-27,Sikkim,unspecified,27.32905,89.69504,2841.4,33.77,204.9,bare,residual_soil,31.3,91.9,132.7,100.2,36.3,1,mudslide,0,low
SYN_N_01177,SYNTHETIC_NER,2015-09-19,Sikkim,unspecified,22.20671,88.43136,3397.3,2.0,316.4,forest,weathered_rock,22.7,56.4,84.7,63.8,13.8,0,n/a,0,low
SYN_N_00031,SYNTHETIC_NER,2022-09-27,Mizoram,unspecified,21.62464,93.1411,1540.8,31.9,135.8,cropland,residual_soil,7.4,15.5,33.2,22.7,11.0,0,n/a,0,low
SYN_E_00439,SYNTHETIC_NER,2024-07-26,Manipur,unspecified,29.23355,91.25547,940.9,26.3,198.5,grassland,residual_soil,26.6,79.3,152.6,105.4,27.2,1,soil slide,0,low
SYN_E_00415,SYNTHETIC_NER,2024-09-10,Tripura,unspecified,29.11658,93.31355,546.3,37.94,323.2,forest,residual_soil,35.7,88.2,139.9,103.5,41.8,1,mudslide,0,low
SYN_E_00670,SYNTHETIC_NER,2019-03-06,Arunachal Pradesh,unspecified,28.99301,91.88922,2213.8,31.41,29.7,forest,colluvium,64.1,171.8,310.0,219.4,38.8,1,debris flow,0,low
